text,original_text,domain,FACILITIES#CLEANLINESS,FACILITIES#COMFORT,FACILITIES#DESIGN&FEATURES,FACILITIES#GENERAL,FACILITIES#MISCELLANEOUS,FACILITIES#PRICES,FACILITIES#QUALITY,FOOD&DRINKS#MISCELLANEOUS,FOOD&DRINKS#PRICES,FOOD&DRINKS#QUALITY,FOOD&DRINKS#STYLE&OPTIONS,HOTEL#CLEANLINESS,HOTEL#COMFORT,HOTEL#DESIGN&FEATURES,HOTEL#GENERAL,HOTEL#MISCELLANEOUS,HOTEL#PRICES,HOTEL#QUALITY,LOCATION#GENERAL,ROOMS#CLEANLINESS,ROOMS#COMFORT,ROOMS#DESIGN&FEATURES,ROOMS#GENERAL,ROOMS#MISCELLANEOUS,ROOMS#PRICES,ROOMS#QUALITY,ROOM_AMENITIES#CLEANLINESS,ROOM_AMENITIES#COMFORT,ROOM_AMENITIES#DESIGN&FEATURES,ROOM_AMENITIES#GENERAL,ROOM_AMENITIES#MISCELLANEOUS,ROOM_AMENITIES#QUALITY,SERVICE#GENERAL
địa điểm thuận tiện trong vòng bán kính 5km nhiều quán ăn ngon,"Địa điểm thuận tiện, trong vòng bán kính 1,5km nhiều quán ăn ngon",hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phục vụ view đẹp vị trí,"Phục vụ, view đẹp, vị trí",hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thuận tiện sạch sẽ vui vẻ hài lòng,"thuận tiện , sạch sẽ , vui vẻ hài lòng",hotel,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vị trí đẹp có quán bar view đẹp nhân viên thân thiện,Vị trí đẹp; Có quán bar view đẹp; Nhân viên thân thiện,hotel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
co view huong ho tay sach se nhan vien tan tinh,- Co view huong Ho tay- sach se-nhan vien tan tinh,hotel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
phòng ốc sạch giường thoải mái nhân viên thân thiện,"Phòng ốc sạch, giường thoải mái, nhân viên thân thiện.",hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
gần hồ tây view nhìn ra hồ lãng mạn đi bộ dọc hồ tây ăn các món hà nội phòng sạch đẹp tiện nghi có view nhìn ra hồ tây rất tuyệt phí thuê xe tô của khách sạn đi yên tử chùa hương giá cáo hơn bên ngoài khá nhiều,"gần Hồ Tây, view nhìn ra hồ lãng mạn, đi bộ dọc Hồ Tây ăn các món Hà Nội Phòng sạch đẹp, tiện nghi, có view nhìn ra Hồ Tây rất tuyệt.Phí thuê xe ô tô của khách sạn đi Yên tử, chùa Hương giá cáo hơn bên ngoài khá nhiều",hotel,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hình thức không thể quyết định nội dung atildey đến để tận hưởng cảm nhận với tôi tuyệt vời,Hình thức không thể quyết định nội dung.H&atildey đến để tận hưởng & cảm nhận.Với tôi: Tuyệt vời!,hotel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tôi đây lần này là lần thứ khi nhận phòng trong phòng khá nhiều bụi tối khi đi ngủ đi mở chăn ra thì trên drap rất nhiều kiến vàng nhỏ nhỏ vì tầng nên những vật dụng trong phòng tắm hay trà cafe ngày nào cũng có thứ thiếu nhân viên lễ tân nhiệt tình dễ chịu,"Tôi ở đây lần này là lần thứ 4. Khi nhận phòng trong phòng khá nhiều bụi. Tối khi đi ngủ đi mở chăn ra thì trên drap rất nhiều kiến vàng nhỏ nhỏ. Vì ở tầng 9 nên những vật dụng trong phòng tắm hay trà, cafe ngày nào cũng có thứ thiếu. Nhân viên lễ tân nhiệt tình, dễ chịu.",hotel,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1
tôi đây lần thứ và có định sẽ thêm nhiều lần nữa tuy nhiên khi check in chẳng biết thế nào mà chẳng ai quan tâm cho tôi mình khiêng hết hành lý lên phòng hic lần trước có người mang hành lý từ xe lên phòng nhưng nhìn chung nhân viên khác vẫn rất dễ thương,"Tôi ở đây lần thứ 2 và có ý định sẽ ở thêm nhiều lần nữa... Tuy nhiên khi check in chẳng biết thế nào mà chẳng ai quan tâm, cho tôi 1 mình khiêng hết hành lý lên phòng...hic... lần trước có người mang hành lý từ xe lên phòng... nhưng nhìn chung nhân viên khác vẫn rất dễ thương...",hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
