text,original_text,domain,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
_hương vị thơm ngon ăn cay cay rất thích nêm nếm vừa miệng ngoài ra menu quán cũng nhiều món khác nhau tha hồ cho bạn lựa chọn luôn _quán rộng rãi view khá đẹp và cũng thoáng lắm khách của quán đông nên nhiều khi nhân viên phục vụ không được nhanh cho lắm _thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung bình là 150k phần hai bạn đi chung chi khoảng 400k hơn là ổn nhé,"_Hương vị thơm ngon, ăn cay cay rất thích, nêm nếm vừa miệng. Ngoài ra menu quán cũng nhiều món khác nhau tha hồ cho bạn lựa chọn luôn._Quán rộng rãi, view khá đẹp và cũng thoáng lắm. Khách của quán đông nên nhiều khi nhân viên phục vụ không được nhanh cho lắm._Thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung bình là 150k 1 phần. Hai bạn đi chung chi khoảng 400k hơn là ổn nhé.",restaurant,1,0,0,0,0,1,1,0,1,0,0,-1
bàn tiệc hoành tráng đứa ăn no muốn tắt thở mà giá chỉ 228k ăn trung đợt giảm 10 mình thích nhất pad thái vs gà nướng đúng kiểu thái luôn quán nhỏ trong hẻm cơ mà anh phục vụ rất dễ thương chế biến hợp vệ sinh bếp lộ thiên lại còn có thể xin nấu cùng đã,"- 1 bàn tiệc hoành tráng 3 đứa ăn no muốn tắt thở mà giá chỉ 228k (ăn trung đợt giảm 10%), mình thích nhất pad thái vs gà nướng - đúng kiểu Thái luôn, quán nhỏ, trong hẻm, cơ mà anh phục vụ rất dễ thương, chế biến hợp vệ sinh, bếp lộ thiên lại còn có thể xin nấu cùng - đã!",restaurant,-1,0,0,0,1,1,1,-1,1,1,0,1
các bạn nhìn cái chảo này có to không trên hình thấy nó cũng to mà ra bên ngoài nó bé tí tẹo tèo teo mà nhìn hoàng tráng lắm ăn là no muốn lăn luôn hahaaa cái này từ hồi mình hà nội đã thèm thuồng và vẫn chưa có cơ hội thử thì vô sài gòn có quán bánh mì chảo đậm chất hà nội đây thêm địa điểm cho mấy bạn nên đi thử nhé không thất vọng đâu vì nó khá ngon hê hê,- Các bạn nhìn cái chảo này có to không 🙄🙄🙄- Trên hình thấy nó cũng to mà ra bên ngoài nó bé tí tẹo tèo teo í 😅😅😅😅- Mà nhìn hoàng tráng lắm - Ăn là no muốn lăn luôn hahaaa - Cái này từ hồi mình ở Hà Nội đã thèm thuồng và vẫn chưa có cơ hội thử thì vô Sài Gòn có quán bánh mì chảo đậm chất Hà Nội đây 👍🏼👍🏼👍🏼- Thêm địa điểm cho mấy bạn nên đi thử nhé - Không thất vọng đâu vì nó khá ngon hê hê,restaurant,0,0,0,0,0,1,1,0,1,0,0,0
cháo có nhiều hương cho các bạn chọn nhưng mình thì chọn hương lá dứa cháo thì cỡ hai chén là hết cháo khá nhừ và thơm cháo thơm mùi gạo tự nhiên ếch vị satế vì mình cực kì thích ăn cay nồi ếch thơm lừng ăn tại chỗ thì ếch nóng hổi ăn nóng bao ngon luôn cay cay mặn mặn hoà chung với cháo thì siêu ngon luôn,"- Cháo: có nhiều hương cho các bạn chọn, nhưng mình thì chọn hương lá dứa. Cháo thì cỡ hai chén là hết, cháo khá nhừ và thơm, cháo thơm mùi gạo tự nhiên😍- Ếch: vị satế, vì mình cực kì thích ăn cay. Nồi ếch thơm lừng , ăn tại chỗ thì ếch nóng hổi , ăn nóng bao ngon luôn. Cay cay, mặn mặn hoà chung với cháo thì siêu ngon luôn😝",restaurant,0,0,0,0,0,1,1,0,0,0,0,0
đồ nướng thì chỗ này không ít bạn chẻ biết đến đâu nhỉ giá thì cực sinh viên luôn chỉ từ 5k xiên thôi có cả bò phô mai với cả bạch tuộc nướng nưa thịt đây ướp rất là ngon vừa miệng ăn nữa nói chùn là không có chỗ chê hê hê,"- Đồ nướng thì chỗ này không ít bạn ""chẻ"" biết đến đâu nhỉ =))) - Giá thì cực sinh viên luôn . Chỉ từ 5k 1 xiên thôi . Có cả bò phô mai với cả bạch tuộc nướng nưa- Thịt ở đây ướp rất là ngon vừa miệng ăn nữa - Nói chùn là không có chỗ chê hê hê",restaurant,0,0,0,0,1,1,1,0,1,0,0,0
đói không ngủ được nên up hình đồ ăn cho mấy bạn coi mì đây ngon lắm không chê vào đâu đươc không gian cực kì dễ thương thíc hợp với việc hẹn hò haha giá cả gọi là hợp lí cho sinh viên tụi mình lâu lâu tự thưởng cho bản thân một bữa ngon lành cũng không gọi là tiếc nuối đâu,"- Đói không ngủ được nên up hình đồ ăn cho mấy bạn coi - Mì ý ở đây ngon lắm, không chê vào đâu đươc í - Không gian cực kì dễ thương =)) thíc hợp với việc hẹn hò haha - Giá cả gọi là hợp lí cho sinh viên tụi mình lâu lâu tự thưởng cho bản thân một bữa ngon lành cũng không gọi là tiếc nuối đâu ạ",restaurant,1,0,0,0,1,1,0,0,0,0,0,0
khẩu vị vừa ăn hợp vệ sinh không gian quán rộng view cũng tạm được đặc biệt là phục vụ rất nhiệt tình và vui vẻ,"- Khẩu vị vừa ăn hợp vệ sinh , không gian quán rộng view cũng tạm được. Đặc biệt là phục vụ rất nhiệt tình và vui vẻ",restaurant,1,0,0,0,0,1,0,0,0,1,0,1
kimchi kimchi nói cho cùng thì đồ ăn càng cay càng ngon hã lẩu bánh gạo phần người ăn kimchikimchi chúng ta có thể ăn no nê luôn nồi lẩu khá to và còn được tặng kèm lon sting và phần cơm chiên nữa đang có chương trình khuyến mại giảm 50 cho phần lẩu người này các bạn ai mà nghiền cay thì không thể không check in hhahaaa,- Kimchi Kimchi 😹😹- Nói cho cùng thì đồ ăn càng cay càng ngon hã 😂- Lẩu bánh gạo phần 4 người ăn ở kimchikimchi - chúng ta có thể ăn no nê luôn - Nồi lẩu khá to và còn được tặng kèm 2 lon sting và 1 phần cơm chiên nữa 😍😍😍- Đang có chương trình khuyến mại giảm 50% cho phần lẩu 4 người này các bạn ạ - Ai mà nghiền cay thì không thể không check in hhahaaa,restaurant,0,0,0,0,1,1,1,0,0,0,0,0
lẩu hàu thì chưa thấy đâu có mới ăn lần đầu đây luôn mà ghiền quá một phần lẩu 199k đầy đặn có con hàu quả trứng rau nấm một gói mì hàn ăn dai dai chứ ko bở như mấy loại thường cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon nước lẩu cay cay ấm bụng cực mì thêm 10k vắt trứng 5k trái,"- Lẩu hàu thì chưa thấy đâu có. Mới ăn lần đầu ở đây luôn, mà ghiền quá. Một phần lẩu 199k đầy đặn có 8 con hàu, 2 quả trứng, rau, nấm, một gói mì Hàn (ăn dai dai chứ ko bở như mấy loại thường).- Cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon. Nước lẩu cay cay, ấm bụng cực :D- Mì thêm 10k/ vắt, trứng 5k/ trái.",restaurant,0,0,0,0,0,1,1,0,0,0,0,0
ngon tuyệt vời luôn,- Ngon tuyệt vời luôn !,restaurant,0,0,0,0,0,1,0,0,0,0,0,0
quán cơm chay thuyền viên chỉ một từ thôi ngon vẫn rất giòn dù lúc tớ là 8h30 tối ăn rất ngon mùi lại thơm nữa nêm vừa ăn ăn chung tương ớt rất ngon không có tương xí muội giá ok 3k cuốn,"- Ở quán Cơm chay Thuyền Viên.- Chỉ một từ thôi: NGON 💘👍- Vẫn rất giòn dù lúc tớ là 8h30 tối, ăn rất ngon, mùi lại thơm nữa. Nêm vừa ăn, ăn chung tương ớt rất ngon (không có tương xí muội)- Giá ok: 3k/cuốn.",restaurant,0,0,0,0,1,1,0,0,0,0,0,0
quảng tên mấy tiệm mì quảng thường đặt tên theo người nấu ra nó vậy nên thấy cái mì quảng bà dzũ đã cảm được chất của đà nẵng ngay từ cái nhìn đầu tiên rồi ngoài mì quảng quán còn rất nhiều món quảng rất ngon như bún cá cam bún bò đà nẵng chỉ xài thịt bò không có giò bún mắm nêm chè đậu ngự quán do anh người quảng rất quảng nên món cũng rất quảng đặt cái tên dễ làm người ta nao lòng tô bé đẹp tô bé cưng cà phê tình mê bún mắm tình đắm nhìn mà phì cười quán rất thoáng mát nếu đang vội đừng tới đây ăn mà hãy chờ lúc nào thong thả quán gì đó muốn quên cũng khó,"- Ở Quảng, tên mấy tiệm mì Quảng thường đặt tên theo người nấu ra nó, vậy nên thấy cái ""mì Quảng Bà Dzũ"" đã cảm được chất của Đà Nẵng ngay từ cái nhìn đầu tiên rồi. - Ngoài mì Quảng, quán còn rất nhiều món Quảng rất ngon như bún cá cam, bún bò Đà Nẵng (chỉ xài thịt bò, không có giò), bún mắm nêm, chè đậu ngự. Quán do 1 anh người Quảng rất Quảng nên món cũng rất Quảng. - Đặt cái tên dễ làm người ta nao lòng, tô bé đẹp, tô bé cưng, cà phê tình mê, bún mắm tình đắm,... nhìn mà phì cười. - Quán rất thoáng mát, nếu đang vội, đừng tới đây ăn, mà hãy chờ lúc nào thong thả. - Quán gì đó - Muốn quên cũng khó.",restaurant,1,0,0,0,0,1,1,0,1,0,0,0
quán tên là cơm chay thuyền viên ăn rất ổn mùi thơm rau cải giòn mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn bị cái nước tương hơi dở nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu giá cũng được 18k đĩa đây còn bán rất nhiều món chay khác như cơm phở hủ tiếu bún thái các món ăn vặt chay phụ liệu nấu đồ chay ăn rất ổn,"- Quán tên là Cơm chay Thuyền Viên.- Ăn rất ổn, mùi thơm, rau cải giòn, mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn. Bị cái nước tương hơi dở. Nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu 👍- Giá cũng được : 18k/đĩa- Ở đây còn bán rất nhiều món chay khác như cơm, phở, hủ tiếu, bún thái, các món ăn vặt chay, phụ liệu nấu đồ chay,... ăn rất ổn.",restaurant,0,0,0,0,1,0,1,0,0,0,0,0
quán trong hẻm nhưng ngay đường nguyễn cư trinh nên cực kì dễ tìm đồ ăn đa dạng ngon nhất vẫn là nem nướng giá cả hợp lý nhân viên phục vụ nhiệt tình nhất định sẽ quay lại nè,"- Quán trong hẻm nhưng ngay đường Nguyễn Cư Trinh nên cực kì dễ tìm- Đồ ăn đa dạng, ngon nhất vẫn là nem nướng - Giá cả hợp lý- Nhân viên phục vụ nhiệt tình- Nhất định sẽ quay lại nè",restaurant,0,0,0,0,1,1,1,1,1,0,0,1
wagyu beef 360k 750g at minimum for order nhen mình ăn medrare sauce chi đầu tiên trong menu 70k sauce ớt chuông rau với oliu oil sauce blue cheese béo ngon hình như 100k hơi nhẫn đắng cheese mặn đút lò ngon tên món quên òi hong nhớ giá luôn ngon thơm salad ko nhớ tên size nhỏ 100k rau cải ngựa và hành khoanh cheese sốt hành nồng khó ăn,"- Wagyu beef 360k/g x 750g at minimum for order nhen. Mình ăn medrare - Sauce Chi... đầu tiên trong menu : 70k sauce ớt chuông rau ,... với oliu oil- Sauce Blue cheese béo ngon hình như 100k , hơi nhẫn đắng- Cheese mặn đút lò ngon. Tên món  quên òi. 😜😜 hong nhớ giá luôn. Ngon thơm.- Salad A... ko nhớ tên. Size nhỏ 100k. Rau cải ngựa và hành khoanh, cheese, sốt hành. Nồng khó ăn.",restaurant,0,0,0,0,0,0,0,0,0,0,0,0
đi vô đường chấn hưng xiú là quán bún thịt nướng hải đăng nổi tiếng hơn hẳn có nhiều quán lắm nha quán thuộc dạng bình dân sân nhà rộng giữ xe miễn phí phần đầy đủ là 25k chả giò thịt nướng nem có xô nước mắm inox trên mỗi bàn lun muốn ăn bao nhiêu thì múc có thể gọi thêm dĩa bún thêm dành cho ra sức ăn mặn ăn được phục vụ nhanh gọn có điều không nóng hổi do làm sẵn chuẩn bị trước hotgirl tính tiền hehe,"-Đi vô đường Chấn Hưng xiú là quán bún thịt nướng Hải Đăng nổi tiếng hơn hẳn.( có nhiều quán lắm nha)-Quán thuộc dạng bình dân, sân nhà rộng,giữ xe miễn phí.-1 phần đầy đủ là 25k,( chả giò, thịt nướng, nem); có 1 xô nước mắm inox trên mỗi bàn lun,muốn ăn bao nhiêu thì múc :)) ( có thể gọi thêm dĩa bún thêm dành cho ạ ra sức ăn mặn)-Ăn được, phục vụ nhanh gọn, có điều không nóng hổi, do làm sẵn chuẩn bị trước.Hotgirl tính tiền hehe",restaurant,1,0,0,0,1,1,0,0,1,1,0,1
quán ngay khu trung tâm khá đông nhất vào giờ ăn trưa phải book chỗ trước phần như hình là bánh tráng phơi sương thịt giò 102k phần thì là 173k dọn kèm bánh tráng phơi sương dẻo rau rừng tươi xanh dĩa đồ chua nước mắm mắm nêm ngoài ra quán còn cọ món tủ là bánh canh 55k cháo sò lông cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết còn có chè khúc bạch không thể không nhắc ht trà đá 4k ly khăn lạnh 2kquán nhiều khách nhưng nhân ciên vô cùng niềm nở dễ thương nha không thích là tính tiền giữ xe 3k thoai,"-Quán ngay khu trung tâm, khá đông, nhất vào giờ ăn trưa, phải book chỗ trước.-Phần như hình là 1/2 bánh tráng phơi sương thịt giò:102k(1 phần thì là 173k)-Dọn kèm bánh tráng phơi sương dẻo,rau rừng tươi xanh, dĩa đồ chua, nước mắm, mắm nêm.ngoài ra quán còn cọ món tủ là bánh canh (55k), cháo sò lông( cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết).Còn có chè khúc bạch không thể không nhắc ở HT.-Trà đá 4k/ly-Khăn lạnh 2kQuán nhiều khách, nhưng nhân ciên vô cùng niềm nở, dễ thương nha ^^Không thích là tính tiền giữ xe 3k thoai :(",restaurant,0,0,0,1,0,0,1,1,0,-1,0,1
trong hình là gà bó xôi truyền thống 280k xôi thơm dẻo bên ngoài giòn rụm gà dai dai ướp thấm gia vị order trước tiếng là giao tới nhà liền nóng hổi trong hộp bao bì hộp đựng sạch sẽ chắc chắn được thêm bao tay nilong để xé gà nữa nhân viên chuyên nghiệp dễ thương order trên flyfood vn để tham khảo thêm menu nhà mình đặt con gà súp bò hầm tiêu gỏi củ hủ dừa hơn triệu xíu mà 12 người ăn còn dư luôn nha bò hầm tiêu xanh ngon lắm lắm gỏi củ hủ dừa hơi ngọt xíu theo khẩu vị miền nam súp đậm đà có thịt nấm trứng cút nhiều lắm lần sau là thử thêm nhiều món khác nữa nè hie hie,"-Trong hình là gà bó xôi truyền thống :280k-Xôi thơm dẻo, bên ngoài giòn rụm.-Gà dai dai ướp thấm gia vị.-Order trước 2 tiếng là giao tới nhà liền, nóng hổi trong hộp.-Bao bì, hộp đựng sạch sẽ, chắc chắn; được thêm bao tay nilong để xé gà nữa. 😍-Nhân viên chuyên nghiệp, dễ thương.-Order trên flyfood.vn để tham khảo thêm menu.-Nhà mình đặt 2 con gà, 1 súp, 1 bò hầm tiêu,1 gỏi củ hủ dừa hơn 1 triệu xíu mà 12 người ăn còn dư luôn nha.-Bò hầm tiêu xanh ngon lắm lắm, gỏi củ hủ dừa hơi ngọt xíu theo khẩu vị miền Nam; súp đậm đà có thịt, nấm, trứng cút nhiều lắm.-Lần sau là thử thêm nhiều món khác nữa nè hie hie😙😛🤗",restaurant,0,0,0,0,1,1,1,0,1,0,0,1
vị trí quán nằm ngay mặt tiền đường sư vạn hạnh khá dễ tìm đồ ăn bánh bèo bánh bột lọc bánh nậm bánh ít ram nem huế chả huế các loại bánh thơm ngon có điều nước mắm hơi ngọt giá cả 30k mâm bánh bèo chén dĩa thì 24k như hình chưa có nem chả không gian quán bình dân hơi chật trời này mà ngồi hơi bị nóng quán đông hay bị thiếu bàn ko có ai coi xe,"-Vị trí: Quán nằm ngay mặt tiền đường Sư Vạn Hạnh khá dễ tìm. -Đồ ăn: bánh bèo, bánh bột lọc, bánh nậm, bánh ít ram, nem huế, chả huế các loại. Bánh thơm, ngon, có điều nước mắm hơi ngọt.-Giá cả: 30k/ mâm bánh bèo chén. Dĩa thì 24k  như hình chưa có nem, chả. -Không gian: quán bình dân, hơi chật, trời này mà ngồi hơi bị nóng, quán đông, hay bị thiếu bàn. Ko có ai coi xe.",restaurant,-1,0,0,0,0,0,1,1,0,-1,0,0
